id,elementifcguid,name,value,classification
3595884,28pOo0cPL6KPXfzSWk0aFt,E0_OK_d_wl_sn22,8.598947496000001,parameter
3595885,2ex5B8xFnEHumuJWUHWJON,E0_OK_d_wl_sn23,11.094957744,parameter
3595886,01wC7e5xX8IhN2Udwoqti0,E0_OK_d_wl_sn24,11.094957744,parameter
3595887,16sF2PP3fDW80DhY_ucSoT,E0_OK_d_wl_sn25,7.594957632000001,parameter
3595914,2_414Bjl90PPXdZA2Pm_WU,E1_OK_d_wl_ew0,7.116891024,parameter
3595915,2_414Bjl90PPXdZA2Pm_WQ,E1_OK_d_wl_ew1,9.686888424000001,parameter
3595916,2_414Bjl90PPXdZA2Pm_WI,E1_OK_d_wl_ew2,11.086889688000001,parameter
3595917,2_414Bjl90PPXdZA2Pm_WG,E1_OK_d_wl_ew3,18.286890528,parameter
3595918,2_414Bjl90PPXdZA2Pm_Wa,E1_OK_d_wl_ew4,2.758955112,parameter
3595919,2_414Bjl90PPXdZA2Pm_W$,E1_OK_d_wl_ew5,3.7768682399999998,parameter
3595920,2_414Bjl90PPXdZA2Pm_XA,E1_OK_d_wl_ew6,2.436888192,parameter
3595921,2_414Bjl90PPXdZA2Pm_X8,E1_OK_d_wl_ew7,6.75686736,parameter
3595922,2_414Bjl90PPXdZA2Pm_X2,E1_OK_d_wl_ew8,7.036890168,parameter
3595923,2_414Bjl90PPXdZA2Pm_XS,E1_OK_d_wl_ew9,19.214390832000003,parameter
3595924,2_414Bjl90PPXdZA2Pm_XN,E1_OK_d_wl_ew10,17.838648600000003,parameter
3595925,2_414Bjl90PPXdZA2Pm_XL,E1_OK_d_wl_ew11,25.936888944,parameter
3595926,2_414Bjl90PPXdZA2Pm_Xi,E1_OK_d_wl_ew12,18.98689116,parameter
3595927,2_414Bjl90PPXdZA2Pm_Xc,E1_OK_d_wl_ew13,12.986890967999999,parameter
3595928,2_414Bjl90PPXdZA2Pm_X$,E1_OK_d_wl_ew14,12.036890328,parameter
3595929,2_414Bjl90PPXdZA2Pm_Xx,E1_OK_d_wl_ew15,14.886889200000002,parameter
3595930,2_414Bjl90PPXdZA2Pm_Xv,E1_OK_d_wl_ew16,15.836889840000001,parameter
3595931,2_414Bjl90PPXdZA2Pm_Xr,E1_OK_d_wl_ew17,16.936888656,parameter
3595932,2_414Bjl90PPXdZA2Pm_Xp,E1_OK_d_wl_ew18,16.256889,parameter
3595933,2_414Bjl90PPXdZA2Pm_YB,E1_OK_d_wl_ew19,12.971888712,parameter
3595934,2_414Bjl90PPXdZA2Pm_YJ,E1_OK_d_wl_ew20,16.286890464000003,parameter
3595935,2_414Bjl90PPXdZA2Pm_Yv,E1_OK_d_wl_ew21,32.501747544000004,parameter
3595936,2_414Bjl90PPXdZA2Pm_ZE,E1_OK_d_wl_ew22,32.501747544000004,parameter
3595937,2_414Bjl90PPXdZA2Pm_Z9,E1_OK_d_wl_ew23,29.344388352000003,parameter
3595938,2_414Bjl90PPXdZA2Pm_ZS,E1_OK_d_wl_ew24,34.336890432000004,parameter
3595939,2_414Bjl90PPXdZA2Pm_ZN,E1_OK_d_wl_ew25,14.221888752,parameter
3595940,2_414Bjl90PPXdZA2Pm_ym,E1_OK_d_wl_ew26,13.93688856,parameter
3595941,3Hrewwg9b5KejEicfryntV,E1_OK_d_wl_ew27,37.749989016,parameter
3595942,03hb0ndU95PO$5sAGF2RQt,E1_OK_d_wl_ew28,0.0,parameter
3595943,0x9eIQ2Fv6Qwnr_8CyHEoB,E1_OK_d_wl_ew29,30.028746648000002,parameter
3595944,0x9eIQ2Fv6Qwnr_8CyHEqD,E1_OK_d_wl_ew30,26.693756112,parameter
3595945,2_414Bjl90PPXdZA2Pm_Wv,E1_OK_d_wl_ew31,9.541888968,parameter
3596037,2_414Bjl90PPXdZA2Pm_Wx,E1_OK_d_wl_sn0,4.4049574080000005,parameter
3596038,2_414Bjl90PPXdZA2Pm_XF,E1_OK_d_wl_sn1,13.474958064000003,parameter
3596039,2_414Bjl90PPXdZA2Pm_Xa,E1_OK_d_wl_sn2,7.819957944,parameter
3596040,2_414Bjl90PPXdZA2Pm_Xn,E1_OK_d_wl_sn3,9.134956584000001,parameter
3596041,2_414Bjl90PPXdZA2Pm_Y9,E1_OK_d_wl_sn4,9.2699586,parameter
3596042,2_414Bjl90PPXdZA2Pm_Y5,E1_OK_d_wl_sn5,8.104958136,parameter
3596043,2_414Bjl90PPXdZA2Pm_ZB,E1_OK_d_wl_sn6,16.074956928,parameter
3596044,2_414Bjl90PPXdZA2Pm_Z0,E1_OK_d_wl_sn7,6.6249590640000005,parameter
