,U1_OK_d_wl_ew6,U1_OK_d_wl_sn21,U1_OK_d_wl_sn26,U1_OK_d_wl_sn10,U1_OK_d_wl_ew35,compliance-IBC1020_2,compliance-IBC1207_1,compliance-IBC1207_3,compliance
150,2.5994,2.6114,7.674799999999999,4.9508,9.8318,True,True,False,False
151,2.7098,2.597,7.8668,5.1128,9.6158,False,True,False,False
152,2.7674,2.711,7.5992,4.9784,9.6542,False,True,False,False
153,2.9474,2.705,7.6088,5.0324,9.8006,False,True,False,False
154,2.921,2.6402,7.6076,5.135599999999999,9.7538,False,True,True,False
155,2.537,2.5562,7.8236,5.0336,9.8102,True,True,False,False
156,2.981,2.5394,7.773199999999999,5.1968,9.7586,False,True,True,False
157,2.7362,2.4806000000000004,7.6004,5.0924,9.8066,True,True,False,False
158,3.0001999999999995,2.6474,7.6616,5.0876,9.6386,False,True,True,False
159,2.717,2.6606,7.628,5.038399999999999,9.7082,True,True,False,False
160,2.4626,2.5214000000000003,7.851199999999999,5.018,9.7022,True,True,False,False
161,2.5034,2.495,7.64,5.190799999999999,9.7142,True,True,False,False
162,2.5202,2.657,7.6544,5.0288,9.8162,True,True,False,False
163,2.4602,2.5778,7.659199999999999,5.151199999999999,9.743,True,True,False,False
164,2.513,2.6342,7.893199999999999,4.9532,9.6806,True,True,False,False
165,2.5682,2.6414,7.8572,5.096,9.6998,True,True,False,False
166,2.633,2.5454000000000003,7.598,5.2172,9.8414,True,True,False,False
167,2.6186,2.6162,7.5956,5.1236,9.6794,True,True,False,False
168,2.741,2.7218,7.764799999999999,4.9616,9.7418,True,True,False,False
169,2.7146,2.6186000000000003,7.6688,4.9676,9.803,True,True,False,False
170,2.9162,2.5046,7.657999999999999,5.2196,9.5606,False,True,False,False
171,2.465,2.639,7.861999999999999,5.215999999999999,9.5846,True,True,False,False
172,2.6714,2.7326,7.641199999999999,5.1884,9.8138,True,True,False,False
173,2.4986,2.4890000000000003,7.812799999999999,4.988,9.7862,True,True,False,False
174,2.5058,2.4638,7.732399999999999,5.204,9.8222,True,True,False,False
175,3.0122,2.531,7.699999999999999,5.1404,9.719,False,True,True,False
176,2.597,2.675,7.643599999999999,5.0024,9.5762,False,True,False,False
177,2.9738,2.5514,7.877599999999999,5.223199999999999,9.6782,False,True,True,False
178,3.0578,2.7194000000000003,7.7744,5.144,9.5906,False,True,True,False
179,2.8682,2.7062,7.835599999999999,5.111599999999999,9.6986,False,True,False,False
180,2.861,2.6498,7.729999999999999,4.9316,9.797,False,True,False,False
181,2.5538,2.6066000000000003,7.650799999999999,5.06,9.629,True,True,False,False
182,3.0194,2.5682,7.8248,5.1524,9.7262,False,True,True,False
183,2.7386,2.7446,7.883599999999999,4.9964,9.5726,False,True,False,False
184,2.6954,2.543,7.8548,5.084,9.7178,True,True,False,False
185,2.6618,2.5742000000000003,7.6448,4.9448,9.665,True,True,False,False
186,2.7506,2.4818,7.837999999999999,5.1896,9.5582,False,True,False,False
187,2.789,2.585,7.6808,4.9256,9.6878,False,True,False,False
188,3.0146,2.6774,7.6892,5.0516,9.677,False,True,False,False
189,2.7698,2.4758,7.714399999999999,5.029999999999999,9.7466,False,True,False,False
