,U1_OK_d_wl_ew6,U1_OK_d_wl_sn21,U1_OK_d_wl_sn26,U1_OK_d_wl_sn10,U1_OK_d_wl_ew35,compliance-IBC1020_2,compliance-IBC1207_1,compliance-IBC1207_3,compliance
130,2.6114,2.7086,7.7276,4.9736,9.821,TRUE,TRUE,FALSE,FALSE
131,3.0482,2.6726,7.8524,5.2064,9.6566,FALSE,TRUE,TRUE,FALSE
132,2.4914,2.7254,7.6868,4.9928,9.6758,TRUE,TRUE,FALSE,FALSE
133,2.8274,2.4866,7.6556,5.0192,9.7622,FALSE,TRUE,FALSE,FALSE
134,2.7842,2.633,7.7948,5.048,9.7394,FALSE,TRUE,FALSE,FALSE
135,2.7338,2.453,7.6832,5.2088,9.6506,FALSE,TRUE,FALSE,FALSE
136,3.053,2.471,7.8008,5.0096,9.7718,FALSE,TRUE,TRUE,FALSE
137,2.9714,2.7302,7.7264,5.024,9.5498,FALSE,TRUE,FALSE,FALSE
138,2.9354,2.7134,7.6376,5.18,9.7334,FALSE,TRUE,TRUE,FALSE
139,2.501,2.5538,7.8188,5.21,9.6338,TRUE,TRUE,FALSE,FALSE
140,2.5346,2.615,7.8464,4.9376,9.6134,TRUE,TRUE,FALSE,FALSE
141,2.8586,2.7098,7.6964,5.0504,9.7706,FALSE,TRUE,FALSE,FALSE
142,2.8874,2.6534,7.8488,4.9916,9.6218,FALSE,TRUE,FALSE,FALSE
143,2.4746,2.5142,7.7228,5.0996,9.659,TRUE,TRUE,FALSE,FALSE
144,3.0314,2.5622,7.6136,5.1068,9.5666,FALSE,TRUE,TRUE,FALSE
145,2.8226,2.669,7.604,5.168,9.5786,FALSE,TRUE,FALSE,FALSE
146,2.8322,2.603,7.8752,5.1656,9.653,FALSE,TRUE,FALSE,FALSE
147,2.993,2.5202,7.7864,5.1596,9.671,FALSE,TRUE,TRUE,FALSE
148,3.0242,2.627,7.6268,4.9856,9.581,FALSE,TRUE,FALSE,FALSE
149,2.9138,2.4662,7.8944,5.0984,9.7202,FALSE,TRUE,FALSE,FALSE
150,2.5994,2.6114,7.6748,4.9508,9.8318,TRUE,TRUE,FALSE,FALSE
151,2.7098,2.597,7.8668,5.1128,9.6158,FALSE,TRUE,FALSE,FALSE
152,2.7674,2.711,7.5992,4.9784,9.6542,FALSE,TRUE,FALSE,FALSE
153,2.9474,2.705,7.6088,5.0324,9.8006,FALSE,TRUE,FALSE,FALSE
154,2.921,2.6402,7.6076,5.1356,9.7538,FALSE,TRUE,TRUE,FALSE
155,2.537,2.5562,7.8236,5.0336,9.8102,TRUE,TRUE,FALSE,FALSE
156,2.981,2.5394,7.7732,5.1968,9.7586,FALSE,TRUE,TRUE,FALSE
157,2.7362,2.4806,7.6004,5.0924,9.8066,TRUE,TRUE,FALSE,FALSE
158,3.0002,2.6474,7.6616,5.0876,9.6386,FALSE,TRUE,TRUE,FALSE
159,2.717,2.6606,7.628,5.0384,9.7082,TRUE,TRUE,FALSE,FALSE
160,2.4626,2.5214,7.8512,5.018,9.7022,TRUE,TRUE,FALSE,FALSE
161,2.5034,2.495,7.64,5.1908,9.7142,TRUE,TRUE,FALSE,FALSE
162,2.5202,2.657,7.6544,5.0288,9.8162,TRUE,TRUE,FALSE,FALSE
163,2.4602,2.5778,7.6592,5.1512,9.743,TRUE,TRUE,FALSE,FALSE
164,2.513,2.6342,7.8932,4.9532,9.6806,TRUE,TRUE,FALSE,FALSE
165,2.5682,2.6414,7.8572,5.096,9.6998,TRUE,TRUE,FALSE,FALSE
166,2.633,2.5454,7.598,5.2172,9.8414,TRUE,TRUE,FALSE,FALSE
167,2.6186,2.6162,7.5956,5.1236,9.6794,TRUE,TRUE,FALSE,FALSE
168,2.741,2.7218,7.7648,4.9616,9.7418,TRUE,TRUE,FALSE,FALSE
169,2.7146,2.6186,7.6688,4.9676,9.803,TRUE,TRUE,FALSE,FALSE
170,2.9162,2.5046,7.658,5.2196,9.5606,FALSE,TRUE,FALSE,FALSE
171,2.465,2.639,7.862,5.216,9.5846,TRUE,TRUE,FALSE,FALSE
172,2.6714,2.7326,7.6412,5.1884,9.8138,TRUE,TRUE,FALSE,FALSE
173,2.4986,2.489,7.8128,4.988,9.7862,TRUE,TRUE,FALSE,FALSE
174,2.5058,2.4638,7.7324,5.204,9.8222,TRUE,TRUE,FALSE,FALSE
175,3.0122,2.531,7.7,5.1404,9.719,FALSE,TRUE,TRUE,FALSE
176,2.597,2.675,7.6436,5.0024,9.5762,FALSE,TRUE,FALSE,FALSE
177,2.9738,2.5514,7.8776,5.2232,9.6782,FALSE,TRUE,TRUE,FALSE
178,3.0578,2.7194,7.7744,5.144,9.5906,FALSE,TRUE,TRUE,FALSE
179,2.8682,2.7062,7.8356,5.1116,9.6986,FALSE,TRUE,FALSE,FALSE
180,2.861,2.6498,7.73,4.9316,9.797,FALSE,TRUE,FALSE,FALSE
181,2.5538,2.6066,7.6508,5.06,9.629,TRUE,TRUE,FALSE,FALSE
182,3.0194,2.5682,7.8248,5.1524,9.7262,FALSE,TRUE,TRUE,FALSE
183,2.7386,2.7446,7.8836,4.9964,9.5726,FALSE,TRUE,FALSE,FALSE
184,2.6954,2.543,7.8548,5.084,9.7178,TRUE,TRUE,FALSE,FALSE
185,2.6618,2.5742,7.6448,4.9448,9.665,TRUE,TRUE,FALSE,FALSE
186,2.7506,2.4818,7.838,5.1896,9.5582,FALSE,TRUE,FALSE,FALSE
187,2.789,2.585,7.6808,4.9256,9.6878,FALSE,TRUE,FALSE,FALSE
188,3.0146,2.6774,7.6892,5.0516,9.677,FALSE,TRUE,FALSE,FALSE
189,2.7698,2.4758,7.7144,5.03,9.7466,FALSE,TRUE,FALSE,FALSE
190,2.5442,2.5802,7.7792,5.1668,9.713,TRUE,TRUE,FALSE,FALSE
191,2.9786,2.5706,7.8788,5.1104,9.7958,FALSE,TRUE,TRUE,FALSE
192,2.6594,2.4986,7.6664,5.1464,9.7322,TRUE,TRUE,FALSE,FALSE
193,2.6042,2.729,7.826,5.0816,9.6482,TRUE,TRUE,FALSE,FALSE
194,2.4962,2.741,7.6232,5.0912,9.773,TRUE,TRUE,FALSE,FALSE
195,2.9618,2.6858,7.8536,5.186,9.8186,FALSE,TRUE,TRUE,FALSE
196,2.945,2.4974,7.76,4.9976,9.6026,FALSE,TRUE,FALSE,FALSE
197,2.5826,2.5346,7.6364,5.0756,9.7598,TRUE,TRUE,FALSE,FALSE
198,3.0506,2.483,7.6388,4.9688,9.6914,FALSE,TRUE,TRUE,FALSE
199,2.6906,2.6666,7.814,5.1548,9.7502,TRUE,TRUE,FALSE,FALSE
200,2.6738,2.561,7.82,5.0624,9.5522,FALSE,TRUE,FALSE,FALSE
201,2.525,2.5634,7.7444,5.1032,9.5642,TRUE,TRUE,FALSE,FALSE
202,3.0266,2.7398,7.7756,5.066,9.6746,FALSE,TRUE,FALSE,FALSE
203,2.6498,2.4674,7.6484,4.9472,9.5774,FALSE,TRUE,FALSE,FALSE
204,2.7722,2.6834,7.7072,5.132,9.6038,FALSE,TRUE,FALSE,FALSE
205,2.8994,2.6846,7.6604,4.958,9.7166,FALSE,TRUE,FALSE,FALSE
